zinc,,Smiles,Dock,SA,HBA,HBD,ROTB,LOGP,QED,MW
ZINC000033922526,,COc1cccc(-c2ccc3c(c2)C[C@H](O)[C@H]3[C@@H](CCCCC(=N)N)C(=O)O)c1,-8.9,3.597122345,5,4,9,3.55997,0.293714436,396.5
ZINC000033954919,,CC1(C)[C@H](/C=C(\Cl)C(F)(F)F)[C@@H]1C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1,-8.9,3.723787854,4,0,6,6.54398,0.469387702,449.9
ZINC000035276466,,O=C(CC(=O)NCc1cccc(-c2ccccc2)c1)NO,-8.9,1.842569774,3,3,5,1.8653,0.445341959,284.3
ZINC000035780505,,CC(=O)O[C@@H]1CC(C)=C2C(=O)C=C(C)[C@@H]2[C@@H]2OC(=O)[C@@H](C)[C@H]21,-8.9,4.339899404,5,0,1,1.9612,0.69263842,304.3
ZINC000036093337,,c1ccc([C@@H](Cc2ccc3ccccc3c2)N2CCNCC2)cc1,-8.9,2.433585875,2,1,4,4.0288,0.781628256,316.4
ZINC000036184977,,C[C@H](C#Cc1cnc(Oc2ccc(Oc3ccccc3)cc2)s1)N(O)C(N)=O,-8.9,3.252668885,5,2,5,4.2376,0.382543191,395.4
ZINC000039063917,,COc1cc2c(ccc3c4c(c(O)c(OC)c32)CN(Cc2ccccc2)CC4)cc1O,-8.9,2.528258414,5,2,4,4.9797,0.460488631,415.5
ZINC000039129916,,Cn1cc(-c2ccc3nnc(Sc4ccc5ncccc5c4)n3n2)cn1,-8.9,2.619256462,6,0,3,3.2242,0.492356035,359.4
ZINC000039140964,,COc1cc2c(ccc3c4c(c(O)c(OC)c32)CN(CC(C)C)CC4)cc1O,-8.9,2.718164349,5,2,4,4.4355,0.654600606,381.5
ZINC000039194443,,Cc1cc(C)cc(Nc2nccc(-c3nc(C)c(C(=O)N[C@@H](C)CO)s3)n2)c1,-8.9,2.936607657,6,3,6,3.37956,0.589583119,397.5
ZINC000039375686,,Cc1[nH]c2cccc(OC[C@@H](O)CNCCOc3ccccc3)c2c1Cl,-8.9,2.750842714,4,3,9,3.53802,0.501093968,374.9
ZINC000040833582,,N#Cc1ccc2ccc(OCC3CCNCC3)cc2c1,-8.9,2.209721271,3,1,3,3.08988,0.928155155,266.3
ZINC000040876206,,Oc1cccc(-c2ccc3c(Br)c(O)ccc3c2)c1,-8.9,2.045707918,2,2,1,4.6805,0.684297316,315.2
ZINC000040880157,,C[C@@H](N)Cc1c2ccccc2c(Br)c2ccccc12,-8.9,2.575975091,1,1,2,4.6452,0.684912394,314.2
ZINC000040917479,,NC(=O)[C@@H](N)CCC(=O)Nc1ccc(Oc2ccc(-c3ccoc3)cc2)cc1,-8.9,2.634770423,5,3,8,3.2702,0.554587804,379.4
ZINC000040950429,,c1ccc(C[C@@H](Cc2ccc(-c3ccccc3)cc2)n2ccnc2)cc1,-8.9,2.437715992,1,0,6,5.5766,0.448815662,338.5
ZINC000041479849,,Cc1cccc(Nc2ncnc3ccc(F)cc23)c1,-8.9,1.854539853,3,1,2,3.82092,0.754026415,253.3
ZINC000043065146,,c1cc2c(cc1O[C@H]1OC[C@@H]3[C@@H](c4ccc5c(c4)OCO5)OC[C@@H]13)OCO2,-8.9,3.84199554,7,0,3,2.883,0.823089528,370.4
ZINC000043195878,,O=C(O)Cn1nnc(-c2cc(N3CCC(Oc4cc(F)ccc4Br)CC3)no2)n1,-8.9,2.86507734,9,1,6,2.3621,0.582777206,467.3
ZINC000043204002,,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1,-8.9,2.847370679,7,2,7,5.8565,0.256947979,560.7
ZINC000043206271,,O=C(O)c1ccc2nc(-c3cc(Cl)cc(Cl)c3)oc2c1,-8.9,2.075532554,4,1,2,4.4998,0.756793235,308.1
ZINC000043208642,,CC(C)(C(=O)NCC(F)(F)C(F)(F)F)C(=O)N[C@@H]1C(=O)Nc2ccccc2-c2ccccc21,-8.9,3.316609631,3,3,5,3.803,0.459998355,469.4
ZINC000045287159,,N#Cc1cccc(-c2ccc(CC[C@@H](O)CC(=O)O)cc2)c1,-8.9,2.424789207,4,2,6,2.99348,0.85803085,295.3
ZINC000045299453,,COc1cc(-c2cc(C)cc(C)c2)cc([C@@H](C)C#Cc2c(C)nc(N)nc2N)c1,-8.9,3.248144339,5,2,3,4.39706,0.65172398,386.5
ZINC000045356534,,CCCCCOc1ccc(NC(=O)O/N=C/c2ccccc2)cc1,-8.9,1.983673024,3,1,8,4.8382,0.326736764,326.4
ZINC000045356538,,CCCCCCOc1ccc(NC(=O)O/N=C/c2ccccc2)cc1,-8.9,2.008242806,3,1,9,5.2283,0.294234288,340.4
ZINC000045358257,,N#Cc1ccc(Cn2cncc2-c2ccccc2)cc1,-8.9,2.015203931,2,0,3,3.47008,0.722336602,259.3
ZINC000049067053,,COc1cc2c(cc1Cl)C(c1cccc(Cl)c1)=NCC2,-8.9,2.268834014,1,0,2,4.3955,0.805831396,306.2
ZINC000049073510,,CC(C)=CCc1c(O)ccc2c1oc1c3ccc(O)cc3oc(=O)c21,-8.9,2.81747761,5,2,2,4.6123,0.412309081,336.3
ZINC000049878380,,O=C(CCl)Nc1ccc2c(c1)C(=O)c1cc(NC(=O)CCl)ccc1C2=O,-8.9,2.246137182,4,2,4,2.8166,0.669406517,391.2
ZINC000049889297,,Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N1Cc2ccccc2C[C@H]1C(=O)N[C@H](CC(=O)O)c1nc2ccccc2n1C,-8.9,3.791743788,7,4,8,3.05124,0.254649267,569.7
ZINC000053022004,,CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)[C@@H]2N3C)cc1,-8.9,3.233615081,4,1,3,4.79,0.832753765,379.5
ZINC000058475559,,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@@H]1C[C@H]3O,-8.9,4.414551614,5,4,6,3.5941,0.495705686,449.6
ZINC000064448155,,CC(C)CC[C@@](C)(O)[C@]1(C)Cc2c(O)c(C(=O)CC(C)C)c3oc(=O)cc(-c4ccccc4)c3c2O1,-8.9,4.035331908,6,2,8,6.2752,0.283905632,492.6
